OBEC, ULICA, PSC, DPOSTA, OKRES
 Ábelová;;985 13;Ábelová;Lučenec
  Banská Bystrica;Jána Bottu;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jána Chalupku;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Janka Kráľa;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jarná;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Jaseňová;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Javornícka;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Javorová;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Jazmínová;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Jedľová;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Jegorovova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jelšová;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jesenná;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Jesenského;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jilemnického;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Jiráskova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jozefa Mistríka;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kalinčiakova;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;kpt. Jaroša;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;kpt. Nálepku;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Kapitulská;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Karpatská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Katovná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kollárova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Komenského;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kostiviarská cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kráľovohoľská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Krátka;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Kremnička;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Krivánska;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Krížna;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kvetinová;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Kukučínova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kuzmányho;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kyjevské nám.;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Laskomerská;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Lazovná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Lesná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Letná;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Limbová;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Lipová;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Lúčičky;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Ľuda Ondrejova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Ľupčianska;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;M. Hattalu;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;M. Rázusa;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Magurská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Majerská cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Malachitová;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Malachovská cesta;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Marka Čulena;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;M. Bela;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Medená;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Medený Hámor;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Mičinská cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Mieru;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;M. M. Hodžu;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Mládežnícka;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Mladých budovateľov;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Mlynská;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Mosadzná;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Moskovská;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Murgašova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Na Čiertolí;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Na Dolinky;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Na Graniari;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Na Hrbe;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Na Karlove;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Na Lúčkach;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Na Motyčinách;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Na plaváreň;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Na Skalici;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Na Starej tehelni;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Na Tále;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Na Troskách;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Na Uhlisku;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Na úbočí;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Na Zábave;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Nad plážou;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Nám. Ludvika Svobodu;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Nám. slobody;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Nám. SNP;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Nám. Š. Moysesa;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Nám. Ľ. Štúra;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Nám. Ľ. Štúra;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Národná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Nemčianska cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Nešporova;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Nová;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Nové Kalište;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Nový Svet;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Odbojárov;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Okružná;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Opálová;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Oremburská;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Ortutská cesta;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Ovocná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Partizánska cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Pestovateľská;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Petelenova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Pieninská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Pod Banošom;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Pod cintorínom;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Pod Dúbravou;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Pod Hôrkou;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Pod Jesenským vŕškom;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Pod Kalváriou;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Pod rybou;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Pod Skalkou;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Pod Stráňou;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Pod Suchým vrchom;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Pod Turíčkou;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Pod Urpínom;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Podháj;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Podjavorinskej;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Podlavická cesta;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Poľná;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Poľovnícka;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Povstalecká;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Priehrada;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Profesora Sáru;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Pršianska cesta;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Radvanská;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Rakytovská cesta;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Robotnícka;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Rubínová;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Rudlovská cesta;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Rudlovská cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Rudohorská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Ruttkaya Nedeckého;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Ružová;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Sadová;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Sásovská cesta;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Senická cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Severná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Sitnianska;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Skubínska cesta;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Skuteckého;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Sládkovičova;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Slnečná;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Slnečné stráne;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Smreková;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Sokolovská;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Spojová;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Starohorská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Stavebná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Stoličková;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Stránska;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Strážovská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Stredná;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Strieborné nám.;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Strmá;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Stromová;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Stupy;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Surovská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Šalgotarjánska;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Šalkovská cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Šípková;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Šimona Jurovského;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Školská;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Šoltésovej;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Štadlerovo nábr.;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Štefánikovo nábr.;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Švermova;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Tajovského;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Tajovského;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Tatranská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;T. Vansovej;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Tichá;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Timravy;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Topoľová;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Tr. Hradca Králové;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Tr. SNP;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Tulská;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Uľanská cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Ulička;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Vajanského nám.;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Veterná;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Viestova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Višňová;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Wolkerova;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Záhradná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Záhumnie;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Závoz;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Zelená;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Zlatá;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Zvolenská cesta;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Železná;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Železničiarska;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Hodruša;;966 63;Hodruša-Hámre 3;Žarnovica
  Banská Štiavnica;1. mája;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;29. augusta;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;8. mája;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;A. G. Gollnerovej;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Akademická;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Andreja Kmeťa;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Andreja Sládkoviča;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Sytnianskeho;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Antolská;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;A. Bernoláka;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Antona Pécha;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Banícka;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Banky;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Banky - Hadová;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Bočná;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Botanická;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Boženy Němcovej;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Timravy;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Bratská;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Brezová;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Budovateľská;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Cintorínska;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Daniela Licharda;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Dolná;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Dolná Resla;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Dolná ružová;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Dr. Tótha;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Clementisa;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Drevená;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Drieňová;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Družicová;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Družstevná;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;E. M. Šoltésovej;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Energetikov;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;F. Zupku;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Farská;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;F. Urbánka;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Laskomerského;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Hájik;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Horná Huta;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Horná Resla;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Horná ružová;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Hutnícka;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Ilijská;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Višňovského;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;I. Krasku;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Komenského;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Jána Bottu;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Jána Hollého;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;J. Palárika;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Jesenského;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Janka Matušku;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Augustu;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;J. C. Hronského;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Tajovského;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;J. Horáka;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;J. I. Bajzu;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;J. K. Hella;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Kollára;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;J. M. Hurbana;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Škultétyho;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Fándlyho;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Gagarina;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Kamenná;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Kammerhofská;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;K. Šmidkeho;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Štiavnica;Katová;969 01;Banská Štiavnica 1;Banská Štiavnica
